category,geo_latitude,geo_longitude
museum,"48,1857710810320","16,3836224650817"
shopping,"48,2065731","16,3705892"
cafes,"48,2080194","16,3720473"
musicstage,"48,2002455","16,3770872"
museum,"48,2048541","16,3681588"
cafes,"48,2083379","16,3709213"
restaurants,"48,2038663","16,3697551"
museum,"48,1716442986060","16,3891426661316"
museum,"48,17182","16,3911993000000"
sightseeing,"48,2046538","16,3585099"
nightlife,"48,2112571","16,3478654"
nightlife,"48,2033453","16,3627575"
shopping,"48,2021199","16,373805"
nightlife,"48,21161138","16,38106289"
nightlife,"48,1968887","16,3490578"
musicstage,"48,2103409","16,3610849"
cafes,"48,2176676","16,3609186"
cafes,"48,210196","16,365431"
cafes,"48,2086116","16,3752607"
cafes,"48,1984329","16,3623848"
cafes,"48,2078082","16,3697549"
cafes,"48,2114529","16,3615795"
cafes,"48,2046538","16,3585099"
cafes,"48,207674","16,3804718"
cafes,"48,195423","16,3552339"
cafes,"48,2038663","16,3697551"
gastronomy,"48,2156599","16,361139"
gastronomy,"48,2046538","16,3585099"
cafes,"48,2042672","16,3550872"
shopping,"48,1999371","16,3613137"
shopping,"48,208589","16,3671648"
museum,"48,20884374","16,37389346"
sightseeing,"48,24028346","16,4099199"
shopping,"48,2040438","16,3702775"
musicstage,"48,2023513","16,3594755"
shopping,"48,1948272","16,3629146"
nightlife,"48,2115391","16,3753057"
nightlife,"48,2186475","16,3700592"
nightlife,"48,2194446","16,3922694"
restaurants,"48,191094","16,3593266"
gastronomy,"48,2032121","16,3571072"
shopping,"48,2079211","16,3737791"
museum,"48,2038573","16,3732316"
museum,"48,19760668","16,35291553"
sightseeing,"48,17070736","16,24608243"
sightseeing,"48,2062953","16,3637448"
accommodations,"48,2038663","16,3697551"
museum,"48,2071645","16,3693173"
shopping,"48,2094059","16,36829"
sightseeing,"48,1989597","16,3702557"
sightseeing,"48,2114384","16,2851174"
cafes,"48,2066268","16,3743903"
museum,"48,2110063","16,3934495"
museum,"48,2046538","16,3585099"
museum,"48,20375984","16,36174428"
museum,"48,1720289999999","16,3891158999999"
musuem,"48,1715628438166","16,3892215275085"
nightlife,"48,2070907","16,3714544"
shopping,"48,21218416","16,36234603"
shopping,"48,2049256","16,3699003"
museum,"48,2076234","16,3813158"
shopping,"48,2076234","16,3813158"
shopping,"48,2095097","16,373307"
restaurants,"48,1929409","16,3575794"
shopping,"48,2035349","16,3591216"
shopping,"48,2073137","16,3701304"
museum,"48,20375283","16,35797346"
museum,"48,20337385","16,35870302"
musicstage,"48,20061724","16,3724119"
musicstage,"48,2199835664055","16,3797569354736"
gastronomy,"48,1997355","16,3656163"
museum,"48,20513273","16,36002766"
museum,"48,2242513","16,331125"
shopping,"48,2073423","16,3714692"
museum,"48,2045802","16,3680759"
sightseeing,"48,20039961","16,37046383"
sightseeing,"48,18482627","16,30238958"
shopping,"48,2010723","16,3495025"
shopping,"48,2086192","16,3711802"
musicstage,"48,2068277","16,3766916"
nightlife,"48,2132942","16,4046699"
shopping,"48,1966415","16,3665213"
musicstage,"48,1921594","16,3397895"
gastronomy,"48,200167","16,3614752"
restaurants,"48,2103678","16,3609253"
sightseeing,"48,2175095","16,3966444"
musicstage,"48,2051876","16,3750333"
nightlife,"48,20722645","16,36169742"
sightseeing,"48,2083556","16,3677601"
shopping,"48,209697","16,3733443"
sightseeing,"48,19125929","16,37988422"
sightseeing,"48,1806637","16,2991312"
shopping,"48,2093168","16,3706687"
museum,"48,2004313","16,3658402"
shopping,"48,2007076","16,3493332"
gastronomy,"48,2064095","16,371684"
shopping,"48,2131057","16,3812965"
shopping,"48,2151781","16,3033805"
gastronomy,"48,2155309","16,3612527"
sightseeing,"48,2087202","16,37276317"
shopping,"48,2035475","16,3682037"
gastronomy,"48,2121534","16,3861776"
shopping,"48,2002938","16,3455941"
shopping,"48,2072730","16,3727446"
shopping,"48,2054839","16,3709295"
musicstage,"48,2046538","16,3585099"
museum,"48,1909435","16,3181505"
musicstage,"48,1994032","16,3642544"
musicstage,"48,209524","16,3509494"
sightseeing,"48,18348407","16,30199974"
servicepoints,"48,2042157","16,3702358"
nightlife,"48,1831645","16,328091"
gastronomy,"48,2133233","16,3721272"
nightlife,"48,2062953","16,3637448"
musicstage,"48,2245845","16,350275"
musicstage,"48,2055471","16,356933"
museum,"48,2019837","16,3421219"
museum,"48,19935723","16,37275999"
museum,"48,205244","16,3708078"
musicstage,"48,2114195","16,3739165"
musicstage,"48,2008436","16,37717884"
shopping,"48,224469","16,373627"
musicstage,"48,224458","16,3734017"
musicstage,"48,2028178","16,3689153"
musicstage,"48,2020572","16,3315712"
gastronomy,"48,204367","16,3688208"
gastronomy,"48,210862","16,372725"
sightseeing,"48,1542998","16,441214"
museum,"48,20222973","16,35943794"
shopping,"48,2090112","16,3696138"
