station,geo_latitude,geo_longitude,available_bikes
Hoher Markt,48.210666,16.372983,19
Oper,48.202683,16.369702,1
Volksgarten,48.206516,16.3604,10
Stephansplatz U,48.207836,16.372111,3
Taborstraße U2,48.219522,16.382218,16
WU-Campus / Südportalstraße ,48.212856,16.407665,19
Klima Biennale Zentrale - Radetzky Platz,48.210682,16.390221,17
Bahngasse / mdw-University of Music and Performing Arts,48.201628,16.384459,6
Erdberg U3,48.190465,16.415318,27
Media Quarter Marx,48.188763,16.404503,10
Rennweg S,48.194261,16.386578,10
Rochusmarkt,48.203416,16.389789,11
Schwarzenbergplatz,48.198852,16.376962,3
Heumühlgasse,48.195304,16.363308,6
Margaretengürtel U4,48.188489,16.343992,25
Mittersteig,48.189735,16.361331,21
Ceija-Stojka-Platz,48.207702,16.342199,3
Volkstheater U,48.205994,16.356442,10
Zieglergasse U3,48.196724,16.343985,6
Berggasse,48.219182,16.366349,35
Frankhplatz,48.215164,16.355172,11
Friedensbrücke U4,48.226825,16.365311,21
Spittelau S U,48.235289,16.35875,28
Alfred-Böhm-Park,48.167276,16.386339,18
Altes Landgut U1,48.160985,16.383653,21
Bloch-Bauer-Promenade,48.179521,16.385926,1
Hauptbahnhof S U ,48.186287,16.375631,42
Keplerplatz U1,48.179192,16.375793,8
Absberggasse,48.172123,16.389296,6
Gasometer U3,48.185253,16.417358,21
Geiselbergstraße S,48.174951,16.406785,5
Simmering S U,48.169601,16.420754,6
Niederhofstraße U6,48.180233,16.330812,17
Hietzing U4,48.187739,16.302814,26
Westbahnhof S U,48.19681,16.338577,14
Richard-Wagner-Platz,48.210054,16.328049,17
Alser Straße U6,48.216588,16.3416,8
Währinger Straße U6,48.225482,16.349795,10
Gymnasiumstraße,48.236591,16.348719,11
Handelskai S U,48.24201,16.384797,24
Wallensteinplatz,48.229911,16.371579,9
Brünner Straße S,48.267376,16.403725,12
Floridsdorf S U,48.255621,16.400137,29
Kultursommer24 - Großfeldsiedlung U1,48.271948,16.447562,3
Siemensstraße S,48.27113,16.42081,13
Aspernstraße U2,48.223008,16.475255,13
